time (ms), current (mA), voltage (V)
time (ms), current (mA), voltage (V)
time:30001	current:250.70	voltage:4.07
time:60001	current:255.81	voltage:4.07
time:90001	current:255.10	voltage:4.07
time:120001	current:259.12	voltage:4.06
time:150001	current:259.10	voltage:4.06
time:180001	current:259.70	voltage:4.06
time:210001	current:259.76	voltage:4.06
time:240000	current:257.91	voltage:4.09
time:270000	current:262.40	voltage:4.09
time:300000	current:269.14	voltage:4.08
time:330000	current:269.06	voltage:4.08
time:360001	current:268.96	voltage:4.08
time:390001	current:269.00	voltage:4.08
time:420000	current:268.84	voltage:4.08
time:450001	current:268.70	voltage:4.08
time:480001	current:268.47	voltage:4.08
time:510000	current:268.23	voltage:4.07
time:540000	current:268.11	voltage:4.07
time:570001	current:267.86	voltage:4.07
time:600001	current:267.63	voltage:4.07
time:630001	current:267.22	voltage:4.07
time:660000	current:267.02	voltage:4.07
time:690000	current:266.69	voltage:4.07
time:720000	current:266.46	voltage:4.07
time:750001	current:266.49	voltage:4.07
time:780001	current:266.82	voltage:4.07
time:810001	current:266.69	voltage:4.07
time:840001	current:266.51	voltage:4.06
time:870001	current:266.63	voltage:4.06
time:900000	current:266.38	voltage:4.06
time:930000	current:266.18	voltage:4.06
time:960000	current:265.86	voltage:4.06
time:990001	current:265.43	voltage:4.06
time:1020001	current:264.82	voltage:4.06
time:1050000	current:263.98	voltage:4.06
time:1080000	current:264.51	voltage:4.06
time:1110000	current:264.86	voltage:4.06
time:1140000	current:265.41	voltage:4.06
time:1170001	current:265.46	voltage:4.05
time:1200001	current:265.42	voltage:4.05
time:1230000	current:265.29	voltage:4.05
time:1260000	current:265.27	voltage:4.05
time:1290001	current:265.34	voltage:4.05
time:1320000	current:265.25	voltage:4.05
time:1350001	current:265.28	voltage:4.05
time:1380001	current:265.50	voltage:4.05
time:1410000	current:265.48	voltage:4.05
time:1440001	current:265.39	voltage:4.05
time:1470001	current:265.25	voltage:4.05
time:1500001	current:264.97	voltage:4.05
time:1530001	current:264.84	voltage:4.05
time:1560000	current:264.72	voltage:4.05
time:1590001	current:264.56	voltage:4.05
time:1620001	current:264.24	voltage:4.05
time:1650000	current:263.98	voltage:4.05
time:1680000	current:263.62	voltage:4.04
time:1710001	current:262.36	voltage:4.04
time:1740001	current:262.03	voltage:4.04
time:1770001	current:261.52	voltage:4.04
time:1800000	current:262.56	voltage:4.04
time:1830000	current:262.11	voltage:4.04
time:1860001	current:264.53	voltage:4.04
time:1890000	current:264.71	voltage:4.04
time:1920000	current:264.66	voltage:4.04
time:1950000	current:263.82	voltage:4.04
time:1980001	current:263.05	voltage:4.04
time:2010001	current:263.22	voltage:4.04
time:2040000	current:263.58	voltage:4.04
time:2070000	current:263.51	voltage:4.04
time:2100001	current:263.89	voltage:4.04
time:2130000	current:263.91	voltage:4.04
time:2160001	current:263.77	voltage:4.04
time:2190001	current:264.02	voltage:4.04
time:2220001	current:264.04	voltage:4.04
time:2250001	current:264.18	voltage:4.03
time:2280001	current:264.21	voltage:4.03
time:2310000	current:264.37	voltage:4.03
time:2340000	current:264.24	voltage:4.03
time:2370001	current:264.32	voltage:4.03
time:2400000	current:264.28	voltage:4.03
time:2430000	current:264.27	voltage:4.03
time:2460001	current:264.24	voltage:4.03
time:2490001	current:264.06	voltage:4.03
time:2520001	current:263.93	voltage:4.03
time:2550001	current:263.94	voltage:4.03
time:2580000	current:263.96	voltage:4.03
time:2610001	current:263.97	voltage:4.03
time:2640000	current:263.86	voltage:4.03
time:2670001	current:263.66	voltage:4.03
time:2700001	current:263.66	voltage:4.03
time:2730001	current:263.35	voltage:4.03
time:2760001	current:263.24	voltage:4.03
time:2790000	current:263.17	voltage:4.02
time:2820000	current:262.92	voltage:4.03
time:2850000	current:262.82	voltage:4.02
time:2880001	current:262.63	voltage:4.02
time:2910001	current:262.48	voltage:4.02
time:2940000	current:262.31	voltage:4.02
time:2970000	current:262.23	voltage:4.02
time:3000001	current:262.01	voltage:4.02
time:3030001	current:262.29	voltage:4.02
time:3060001	current:262.42	voltage:4.02
time:3090000	current:262.43	voltage:4.02
time:3120000	current:262.56	voltage:4.02
time:3150001	current:262.73	voltage:4.02
time:3180001	current:262.82	voltage:4.02
time:3210000	current:262.75	voltage:4.02
time:3240000	current:262.76	voltage:4.02
time:3270000	current:262.80	voltage:4.02
time:3300001	current:262.79	voltage:4.01
time:3330000	current:262.87	voltage:4.02
time:3360000	current:262.74	voltage:4.01
time:3390000	current:262.75	voltage:4.01
time:3420000	current:262.68	voltage:4.01
time:3450000	current:262.62	voltage:4.01
time:3480001	current:262.66	voltage:4.01
time:3510000	current:262.79	voltage:4.01
time:3540000	current:262.86	voltage:4.01
time:3570001	current:262.82	voltage:4.01
time:3600001	current:262.81	voltage:4.01
time:3630001	current:262.84	voltage:4.01
time:3660000	current:262.76	voltage:4.01
time:3690001	current:262.78	voltage:4.01
time:3720001	current:262.67	voltage:4.01
time:3750001	current:262.72	voltage:4.01
time:3780001	current:262.71	voltage:4.01
time:3810001	current:262.68	voltage:4.01
time:3840000	current:262.63	voltage:4.01
time:3870000	current:262.63	voltage:4.01
time:3900000	current:262.59	voltage:4.00
time:3930001	current:262.60	voltage:4.00
time:3960001	current:262.54	voltage:4.00
time:3990001	current:262.66	voltage:4.00
time:4020001	current:262.68	voltage:4.00
time:4050001	current:262.65	voltage:4.00
time:4080001	current:262.65	voltage:4.00
time:4110001	current:262.49	voltage:4.00
time:4140000	current:262.65	voltage:4.00
time:4170000	current:262.53	voltage:4.00
